Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.378,6,9,10
1,0.533,2,11,12
2,0.681,1,12,12
3,0.667,2,14,9
4,0.711,4,9,12
5,0.741,2,13,10
6,0.727,2,15,8
7,0.775,1,8,16
8,0.748,2,8,15
9,0.769,0,20,5
10,0.774,1,13,11
11,0.785,0,16,9
12,0.781,1,12,12
13,0.79,2,16,7
14,0.784,2,13,10
15,0.779,3,18,4
16,0.765,1,11,13
17,0.767,1,13,11
18,0.779,2,17,6
19,0.779,2,9,14
20,0.772,0,18,7
21,0.765,2,10,13
22,0.746,2,18,5
23,0.774,1,14,10
24,0.774,1,14,10
25,0.786,2,14,9
26,0.77,3,16,6
27,0.788,0,14,11
28,0.778,3,14,8
29,0.799,4,12,9
30,0.765,2,19,4
31,0.785,2,16,7
32,0.774,3,16,6
33,0.773,2,13,10
34,0.78,2,16,7
35,0.788,1,12,12
36,0.789,2,14,9
37,0.782,3,16,6
38,0.78,2,14,9
39,0.773,5,16,4
40,0.764,2,13,10
41,0.789,1,14,10
42,0.795,2,13,10
43,0.781,1,15,9
44,0.794,2,13,10
45,0.798,2,19,4
46,0.789,2,15,8
47,0.784,4,15,6
48,0.78,3,10,12
49,0.784,2,12,11
50,0.779,1,13,11
51,0.776,0,12,13
52,0.781,0,13,12
53,0.788,3,15,7
54,0.787,2,13,10
55,0.785,1,17,7
56,0.79,2,14,9
57,0.793,2,15,8
58,0.795,1,14,10
59,0.796,1,14,10
60,0.794,0,15,10
61,0.787,1,15,9
62,0.784,1,12,12
63,0.798,4,9,12
64,0.791,1,20,4
65,0.789,2,20,3
66,0.786,1,15,9
67,0.784,0,15,10
68,0.799,0,13,12
69,0.788,3,16,6
70,0.793,3,14,8
71,0.797,0,17,8
72,0.79,2,15,8
73,0.792,1,15,9
74,0.797,1,10,14
75,0.805,3,12,10
76,0.785,3,16,6
77,0.794,2,14,9
78,0.793,3,13,9
79,0.788,4,11,10
80,0.785,2,10,13
81,0.79,1,14,10
82,0.784,3,15,7
83,0.787,3,11,11
84,0.809,3,15,7
85,0.803,0,13,12
86,0.8,3,8,14
87,0.785,0,15,10
88,0.8,2,18,5
89,0.797,3,14,8
90,0.791,2,17,6
91,0.797,0,15,10
92,0.8,4,15,6
93,0.796,1,12,12
94,0.792,2,16,7
95,0.793,2,17,6
96,0.796,2,16,7
97,0.799,1,17,7
98,0.795,0,13,12
99,0.792,2,14,9
