Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.733,1,10,89
1,0.889,21,3,76
2,0.85,21,16,63
3,0.922,25,11,64
4,0.883,33,9,58
5,0.839,44,5,51
6,0.906,35,12,53
7,0.928,27,10,63
8,0.883,37,8,55
9,0.889,34,8,58
10,0.906,25,7,68
11,0.889,34,6,60
12,0.883,37,9,54
13,0.894,34,8,58
14,0.872,32,5,63
15,0.911,29,4,67
16,0.917,37,6,57
17,0.917,38,3,59
18,0.872,38,4,58
19,0.911,29,7,64
20,0.828,31,4,65
21,0.883,31,5,64
22,0.906,33,5,62
23,0.894,32,4,64
24,0.95,31,2,67
25,0.956,31,4,65
26,0.928,27,3,70
27,0.872,28,3,69
28,0.917,20,2,78
29,0.9,26,8,66
30,0.867,22,1,77
31,0.928,29,3,68
32,0.922,28,4,68
33,0.9,27,5,68
34,0.906,31,6,63
35,0.906,32,7,61
36,0.939,18,4,78
37,0.906,27,4,69
38,0.894,28,7,65
39,0.867,33,1,66
40,0.889,34,2,64
41,0.883,32,2,66
42,0.883,30,2,68
43,0.883,30,3,67
44,0.922,26,1,73
45,0.906,29,2,69
46,0.917,22,5,73
47,0.906,28,4,68
48,0.933,30,1,69
49,0.906,27,3,70
50,0.911,21,5,74
51,0.917,28,1,71
52,0.9,35,2,63
53,0.894,38,4,58
54,0.906,29,3,68
55,0.9,30,3,67
56,0.917,29,5,66
57,0.883,24,10,66
58,0.9,32,3,65
59,0.894,35,5,60
60,0.928,42,1,57
61,0.917,35,1,64
62,0.872,39,5,56
63,0.894,31,5,64
64,0.928,28,5,67
65,0.933,23,7,70
66,0.883,29,8,63
67,0.889,29,7,64
68,0.889,37,5,58
69,0.867,37,8,55
70,0.872,26,10,64
71,0.917,35,6,59
72,0.917,31,10,59
73,0.894,38,4,58
74,0.878,32,9,59
75,0.822,30,13,57
76,0.9,30,9,61
77,0.883,36,8,56
78,0.894,36,9,55
79,0.917,34,8,58
80,0.872,40,8,52
81,0.9,25,11,64
82,0.894,31,11,58
83,0.917,19,9,72
84,0.928,23,11,66
85,0.917,24,12,64
86,0.922,18,16,66
87,0.911,21,14,65
88,0.889,22,13,65
89,0.933,13,17,70
90,0.883,23,13,64
91,0.894,33,6,61
92,0.894,22,14,64
93,0.844,31,8,61
94,0.911,19,13,68
95,0.889,21,12,67
96,0.839,34,15,51
97,0.889,36,7,57
98,0.9,28,12,60
99,0.878,34,7,59
