Iteration,Accuracy,Player 1 Wins,Player 2 Wins,Nobody Wins
0,0.056,6,2,2
1,0.667,8,2,0
2,0.833,10,0,0
3,1.0,10,0,0
4,0.833,10,0,0
5,0.778,9,1,0
6,0.944,8,0,2
7,0.722,10,0,0
8,0.556,9,0,1
9,0.833,8,2,0
10,0.889,9,0,1
11,0.833,9,0,1
12,0.889,8,1,1
13,0.778,9,0,1
14,0.778,9,1,0
15,0.778,7,2,1
16,0.889,9,0,1
17,0.778,9,1,0
18,0.833,7,2,1
19,0.833,9,1,0
20,0.944,7,2,1
21,0.833,8,2,0
22,0.778,8,1,1
23,0.778,9,1,0
24,0.889,9,0,1
25,1.0,9,1,0
26,0.833,8,2,0
27,0.611,6,3,1
28,0.833,8,1,1
29,0.889,9,1,0
30,0.889,10,0,0
31,0.944,10,0,0
32,0.833,9,1,0
33,0.889,10,0,0
34,0.889,10,0,0
35,0.889,10,0,0
36,0.722,7,3,0
37,0.889,9,0,1
38,0.556,8,0,2
39,0.889,8,1,1
40,0.667,9,1,0
41,0.444,9,1,0
42,0.889,10,0,0
43,0.889,10,0,0
44,0.944,9,0,1
45,0.778,10,0,0
46,0.944,8,2,0
47,0.833,9,1,0
48,0.444,8,1,1
49,0.833,8,1,1
50,0.944,10,0,0
51,0.611,8,2,0
52,0.833,10,0,0
53,0.944,8,1,1
54,0.778,9,0,1
55,0.667,10,0,0
56,0.944,10,0,0
57,0.722,10,0,0
58,0.889,10,0,0
59,0.889,8,1,1
60,0.722,9,1,0
61,1.0,10,0,0
62,0.944,9,0,1
63,0.889,9,0,1
64,0.722,9,0,1
65,0.778,10,0,0
66,0.667,10,0,0
67,0.889,5,1,4
68,1.0,2,0,8
69,0.722,5,1,4
70,1.0,0,0,10
71,0.889,1,0,9
72,0.556,7,0,3
73,0.944,3,0,7
74,0.667,4,2,4
75,0.5,4,2,4
76,0.722,4,0,6
77,0.944,2,0,8
78,0.833,1,0,9
79,0.667,4,0,6
80,0.944,1,0,9
81,0.722,4,0,6
82,0.667,7,0,3
83,0.889,4,0,6
84,0.833,3,0,7
85,1.0,1,0,9
86,0.778,3,0,7
87,0.889,2,0,8
88,0.778,2,0,8
89,0.833,3,0,7
90,0.833,6,0,4
91,0.889,2,0,8
92,0.667,5,0,5
93,0.889,6,0,4
94,0.556,3,1,6
95,0.944,3,0,7
96,1.0,1,0,9
97,0.667,5,0,5
98,0.667,7,0,3
99,0.889,7,0,3
