Game,Step,Cell_0_0,Cell_0_1,Cell_0_2,Cell_0_3,Cell_1_0,Cell_1_1,Cell_1_2,Cell_1_3,Cell_2_0,Cell_2_1,Cell_2_2,Cell_2_3,Cell_3_0,Cell_3_1,Cell_3_2,Cell_3_3,Move,Agent
0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,02,1
0,1,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,03,2
0,2,0,0,1,2,0,1,2,0,0,2,1,0,0,0,0,0,31,1
0,3,0,0,1,2,0,1,2,0,0,1,1,0,0,1,0,0,30,2
0,4,0,0,1,2,0,1,2,0,0,2,1,0,2,1,0,0,20,1
0,5,0,0,1,2,0,1,2,0,1,1,1,0,2,1,0,0,32,2
0,6,0,0,1,2,0,1,2,0,1,1,2,0,2,2,2,0,23,1
0,7,0,0,1,2,0,1,2,0,1,1,1,1,2,2,2,0,10,2
0,8,0,0,1,2,2,2,2,0,2,2,1,1,2,2,2,0,00,1
0,9,1,0,1,2,2,1,2,0,2,2,1,1,2,2,2,0,13,2
0,10,1,0,1,2,2,1,2,2,2,2,2,1,2,2,2,0,33,1
0,11,1,0,1,2,2,1,2,2,2,2,1,1,2,2,2,1,01,2
1,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,13,1
1,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,03,2
1,2,0,0,0,2,0,1,2,1,0,2,1,0,0,0,0,0,20,1
1,3,0,0,0,2,0,1,2,1,1,1,1,0,0,0,0,0,30,2
1,4,0,0,0,2,0,1,2,1,1,2,1,0,2,0,0,0,02,1
1,5,0,0,1,2,0,1,1,1,1,2,1,0,2,0,0,0,23,2
1,6,0,0,1,2,0,1,1,2,1,2,2,2,2,0,0,0,32,1
1,7,0,0,1,2,0,1,1,2,1,2,1,2,2,0,1,0,01,2
1,8,0,2,2,2,0,2,2,2,1,2,1,2,2,0,1,0,00,1
1,9,1,2,2,2,0,1,2,2,1,2,1,2,2,0,1,0,31,2
1,10,1,2,2,2,0,1,2,2,1,2,2,2,2,2,1,0,10,1
1,11,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,0,33,2
